timestamp,ear,mar,pitch,yaw,state
1784610050.214,0.4667,0.3117,0.64,1.13,focused
1784610050.546,0.4889,0.3096,0.33,0.15,focused
1784610050.650,0.4972,0.3098,0.99,0.49,focused
1784610050.746,0.4713,0.3119,-0.10,0.78,focused
1784610051.247,0.4842,0.3106,0.28,0.67,focused
1784610051.748,0.5185,0.3099,-2.10,0.22,focused
1784610052.252,0.4973,0.3072,-0.79,-1.34,focused
1784610052.751,0.4779,0.3053,-1.72,0.12,focused
1784610053.254,0.4875,0.3071,-5.75,-1.10,focused
1784610053.752,0.4848,0.3082,-5.11,-0.37,focused
1784610054.253,0.4695,0.3082,-4.51,0.84,focused
1784610054.749,0.4664,0.3081,-2.17,0.81,focused
1784610055.253,0.4958,0.3038,-2.83,0.97,focused
1784610055.753,0.4835,0.3062,-3.09,0.11,focused
1784610056.252,0.4766,0.3041,-3.18,0.46,focused
1784610056.752,0.4741,0.3041,-3.19,0.45,focused
1784610057.252,0.4783,0.3034,-3.55,0.60,focused
1784610057.752,0.4629,0.3029,-4.00,0.43,focused
1784610058.250,0.4802,0.3014,-2.69,0.21,focused
1784610058.752,0.4921,0.3041,-3.01,0.39,focused
1784610059.252,0.4925,0.3013,-3.07,0.23,focused
1784610059.753,0.4995,0.3009,-3.14,0.48,focused
1784610060.249,0.4810,0.3004,-3.56,1.03,focused
1784610060.751,0.5131,0.3008,-0.81,-1.67,focused
1784610061.252,0.4335,0.3122,0.13,-0.07,focused
1784610061.751,0.4937,0.3073,1.49,-0.34,focused
1784610062.252,0.4729,0.3048,0.56,0.46,focused
1784610062.751,0.4839,0.3047,-0.62,0.48,focused
1784610063.253,0.4734,0.3059,-0.19,0.97,focused
1784610063.753,0.4812,0.3041,-0.44,0.62,focused
1784610064.253,0.4727,0.3035,-0.25,0.55,focused
1784610064.750,0.4774,0.3048,-0.73,1.64,focused
1784610065.253,0.4681,0.3021,-0.78,1.20,focused
1784610065.754,0.4837,0.3035,-0.08,0.87,focused
1784610066.253,0.4747,0.3019,-0.05,1.02,focused
1784610066.753,0.4809,0.3028,-0.54,1.37,focused
1784610067.254,0.4806,0.3055,0.16,0.95,focused
1784610067.752,0.4660,0.3045,-0.31,0.28,focused
1784610068.253,0.4851,0.3032,0.74,0.01,focused
1784610068.752,0.4781,0.3042,0.03,0.37,focused
1784610069.255,0.5013,0.3015,-0.42,1.59,focused
1784610069.753,0.5028,0.3028,-0.34,1.70,focused
1784610070.254,0.4875,0.3063,0.08,0.60,focused
1784610070.752,0.4856,0.3056,0.05,0.90,focused
1784610071.255,0.4879,0.3039,-1.06,1.14,focused
1784610071.755,0.4742,0.3056,-0.67,0.94,focused
1784610072.254,0.4713,0.3012,-1.66,0.03,focused
1784610072.754,0.4636,0.3039,-0.63,0.82,focused
1784610073.252,0.4579,0.3016,-1.60,0.62,focused
1784610073.749,0.4632,0.3076,-1.28,0.18,focused
1784610074.250,0.4563,0.3019,-1.67,0.32,focused
1784610074.754,0.4670,0.3020,-1.71,1.23,focused
1784610075.255,0.4704,0.3034,-1.44,0.70,focused
1784610075.753,0.4570,0.3075,-0.68,0.42,focused
1784610076.254,0.4594,0.3031,-1.32,2.19,focused
1784610076.753,0.4631,0.3034,-1.92,1.70,focused
1784610077.253,0.4726,0.3032,-1.96,1.15,focused
1784610077.752,0.4361,0.3072,-1.09,1.24,focused
1784610078.289,0.4901,0.3035,-0.11,1.42,focused
1784610078.749,0.4708,0.3021,0.00,1.19,focused
1784610079.254,0.4648,0.3044,-0.62,1.12,focused
1784610079.749,1.0676,0.2583,-13.15,-68.77,distracted
1784610080.250,0.5729,0.2532,-19.09,-62.98,distracted
